Dataset,Best,min.histogram.9,h_mean.histogram.9,var.histogram.0,class_conc.histogram.0,best_node.max,mad.histogram.0,elite_nn.median.relative,t_mean.histogram.9,worst_node.mean.relative,tree_depth.histogram.5,range.histogram.0,best_node.histogram.6,g_mean.histogram.9,random_node.histogram.8.relative,one_nn.max.relative,cov.histogram.0,cov.min,naive_bayes.histogram.5
strikes_did770,DecisionTree,0.1666666666666666,0.0909090909090909,0.8333333333333334,0.3333333333333333,0.984126984126984,0.8333333333333334,7.0,0.1666666666666666,1.0,0.175438596491228,0.8333333333333334,0.0,0.0871212121212121,6.5,2.0,0.6666666666666666,0.1299948717948719,0.1
student_lifestyle_dataset_did46752,DecisionTree,0.2857142857142857,0.1428571428571428,0.8571428571428571,0.5714285714285714,0.74,0.8571428571428571,6.0,0.1428571428571428,2.0,0.0,0.8571428571428571,0.0,0.1428571428571428,3.5,1.0,0.6666666666666666,0.0018668834417208,0.1
sylvine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44678,LogisticRegression,0.05,0.0909090909090909,0.75,0.9,0.93,0.65,4.0,0.05,2.0,0.1802575107296137,0.65,0.0,0.0871212121212121,2.0,3.0,0.9894736842105264,0.0947493746873457,0.1
thyroid-new_did40682,LogisticRegression,0.2,0.0909090909090909,0.2,0.4,0.8571428571428571,0.4,4.0,0.2,3.0,0.1739130434782608,0.2,0.0,0.0871212121212121,3.0,5.5,0.3,2.098523364485981,0.3
total_score_did46505,DecisionTree,0.1,0.0909090909090909,0.9,0.4,0.5833333333333334,0.9,2.0,0.1,5.0,0.4372093023255814,0.9,0.0,0.0871212121212121,3.5,1.0,0.9333333333333332,0.0010415879524996,0.0
user-knowledge_did1508,MLP,0.0,0.0,0.4,0.8,0.575,0.2,4.0,0.2,1.0,0.1518987341772152,0.2,0.0,0.0,2.5,5.0,0.3,0.0022401527227386,0.1
vehicle_did54,LogisticRegression,0.1666666666666666,0.0555555555555555,0.9444444444444444,0.1666666666666666,0.4285714285714285,0.6666666666666666,2.0,0.0555555555555555,3.0,0.1858736059479553,0.7222222222222222,0.5,0.0555555555555555,5.0,6.0,0.9019607843137256,0.1533719417516445,0.0
vertebra-column_did1523,LogisticRegression,0.1666666666666666,0.0909090909090909,0.5,0.3333333333333333,0.8064516129032258,0.1666666666666666,3.0,0.1666666666666666,2.0,0.1123595505617977,0.3333333333333333,0.0,0.0871212121212121,2.0,6.0,0.2666666666666666,4.3541198366800575,0.2
vinnie_did860,DecisionTree,0.5,0.5,0.5,0.5,0.9473684210526316,0.5,7.0,0.5,1.5,0.1454545454545454,0.5,0.0,0.5,2.0,1.0,0.0,0.3303707818358554,0.0
visualizing_galaxy_did925,MLP,0.25,0.0909090909090909,0.25,0.25,1.0,0.25,3.0,0.25,1.0,0.1621621621621621,0.25,0.1,0.0871212121212121,4.5,4.0,0.5,21.50402180321323,0.0
volcanoes-a1_did1527,DecisionTree,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.926153846153846,0.3333333333333333,6.5,0.6666666666666666,2.5,0.1627118644067796,0.3333333333333333,0.0,0.6666666666666666,2.5,6.5,0.6666666666666666,0.8432956145797504,0.0
wall-robot-navigation_did1525,DecisionTree,0.5,0.5,0.5,0.5,0.7908256880733945,0.5,4.0,0.5,1.5,0.0,0.5,0.0,0.5,2.5,7.0,0.0,0.0061441196546121,0.0
waveform_did47155,LogisticRegression,0.0952380952380952,0.0909090909090909,0.1904761904761904,0.1428571428571428,0.6,0.1428571428571428,2.0,0.1428571428571428,1.0,0.3036649214659686,0.2857142857142857,0.0,0.0871212121212121,7.0,5.0,0.3142857142857143,0.0015775843589486,0.3
wdbc_did1510,LogisticRegression,0.0333333333333333,0.0333333333333333,0.9333333333333332,0.1666666666666666,0.9464285714285714,0.9333333333333332,2.0,0.0333333333333333,3.0,0.1860465116279069,0.9,0.2,0.0333333333333333,6.5,4.0,0.9954022988505749,2.1732041634697626e-07,0.0
wilt_did40983,KNN,0.2,0.2,0.4,0.2,0.9462809917355371,0.6,2.0,0.2,5.0,0.392156862745098,0.4,0.0,0.2,3.5,7.0,0.7,9.506332707888816,0.2
wine_did43980,DecisionTree,0.0909090909090909,0.0909090909090909,0.8181818181818182,0.3636363636363636,0.8156862745098039,0.8181818181818182,2.0,0.0909090909090909,3.0,0.228646517739816,0.8181818181818182,0.0,0.0909090909090909,2.5,3.0,0.9636363636363636,2.8565759324405655e-05,0.1
